1;CHLORHYDRATE DE NILOTINIB MONOHYDRATÉ|;TASIGNA 200 mg, gélule
1;AMOXICILLINE TRIHYDRATÉE|0,1464 g;AMOXICILLINE SANDOZ 125 mg/5 ml, poudre pour suspension buvable
1;CHLORHYDRATE DE MOEXIPRIL|15 mg;MOEX 15 mg, comprimé pelliculé sécable
1;DIHYDROGÉNOPHOSPHATE DE RILMÉNIDINE|;RILMENIDINE CRISTERS 1 mg, comprimé
1;HYDROCHLOROTHIAZIDE|25 mg;ESIDREX 25 mg, comprimé sécable
1;BETULA ALBA (HOMÉOPATHIE)|2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);BETULA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;ROSUVASTATINE CALCIQUE|;ROSUVASTATINE EG 5 mg, comprimé pelliculé
1;MONONITRATE D'ISOSORBIDE|40 mg;MONICOR L P 40 mg, gélule à libération prolongée
1;LANSOPRAZOLE|30 mg;LANSOPRAZOLE ZENTIVA 30 mg, comprimé orodispersible
1;HYDROGÉNOTARTRATE DE RIVASTIGMINE|;RIVASTIGMINE BIOGARAN 6 mg, gélule
1;CAPÉCITABINE|150 mg;CAPECITABINE ARROW 150 mg, comprimé pelliculé
1;CEFTRIAXONE SODIQUE|1079,27 mg;CEFTRIAXONE EG 1 g/10 ml, poudre et solvant pour solution injectable (IV)
1;FRAGMENT F(AB')2 D'IMMUNOGLOBULINE ÉQUINE TÉTANIQUE |1500 UI;IMMUNOGLOBULINE EQUINE TETANIQUE PASTEUR 1500 UI/ml, solution injectable en seringue préremplie
1;PIROXICAM-BÉTACYCLODEXTRINE (COMPLEXE)|191,2 mg;CYCLADOL 20 mg, comprimé effervescent
1;ATORVASTATINE CALCIQUE|82,72 mg;ATORVASTATINE MYLAN PHARMA 80 mg, comprimé pelliculé
1;FLUVASTATINE SODIQUE|42,12 mg;FLUVASTATINE ARROW 40 mg, gélule
1;MÉTHOTREXATE|10 mg;NORDIMET 10 mg, solution injectable en stylo prérempli
1;CHLORHYDRATE D'OXYCODONE|5 mg;OXYCODONE BIOGARAN LP 5 mg, comprimé pelliculé à libération prolongée
1;PEROXYDE DE BENZOYLE HYDRATÉ|;ECLARAN 5, gel pour application locale
1;LÉVOFLOXACINE HÉMIHYDRATÉE|;LEVOFLOXACINE ISOMED 500 mg, comprimé pelliculé sécable
1;DESLORATADINE|0,5 mg;DESLORATADINE ZENTIVA 0,5 mg/ml, solution buvable
1;CÉFUROXIME AXÉTIL|;CEFUROXIME ZENTIVA 250 mg, comprimé enrobé
1;CHLORHYDRATE DE RALOXIFÈNE|60 mg;RALOXIFENE CRISTERS 60 mg, comprimé pelliculé
1;ATORVASTATINE CALCIQUE|;ATORVASTATINE RATIO 10 mg, comprimé pelliculé
1;CHLORHYDRATE DE TERBINAFINE|;TERBINAFINE ALMUS 250 mg, comprimé sécable
1;THIAMPHÉNICOL|250 mg;THIOPHENICOL, comprimé enrobé
1;OCTOCOG ALFA |250 UI;HELIXATE NEXGEN 250 UI, poudre et solvant pour solution injectable
1;HYPERICUM PERFORATUM POUR PRÉPARATIONS HOMÉOPATHIQUES|2CH à 30CH et 4DH à 60DH (pommade à 4 %);HYPERICUM PERFORATUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;SIROLIMUS|2 mg;RAPAMUNE 2 mg, comprimé enrobé
1;RÉPAGLINIDE|1 mg;REPAGLINIDE ACCORD 1 mg, comprimé
1;ZOFÉNOPRIL CALCIQUE|30 mg;ZOFENOPRIL MYLAN 30 mg, comprimé pelliculé sécable
1;PÉGINTERFÉRON BÊTA-1A |125 microgrammes;PLEGRIDY 125 microgrammes, solution injectable en stylo prérempli
1;ATORVASTATINE CALCIQUE|41,44 mg;ATORVASTATINE KRKA 40 mg, comprimé pelliculé
1;VARÉNICLINE (TARTRATE DE)|;CHAMPIX 0,5 mg, comprimé pelliculé
1;FUMARIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES|2CH à 30CH et 4DH à 60DH (pommade à 4 %);FUMARIA OFFICINALIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;CEFTRIAXONE SODIQUE|1079,27 mg;CEFTRIAXONE AGUETTANT 1 g/3,5 ml, poudre et solvant pour solution injectable (IM)
1;PARACÉTAMOL|500,0 mg;PARACETAMOL EG 500 mg, gélule
2;VALÉRATE D'ESTRADIOL|2 mg;MÉDROXYPROGESTÉRONE (ACÉTATE DE)|5 mg;DUOVA 2 mg/5 mg, comprimé
1;CÉFADROXIL MONOHYDRATÉ|525 mg;CEFADROXIL MYLAN 500 mg/5 ml, poudre pour suspension buvable
1;CANDÉSARTAN CILEXÉTIL|4 mg;CANDESARTAN TEVA SANTE 4 mg, comprimé sécable
1;FLUVASTATINE SODIQUE|42,12 mg;FLUVASTATINE EVOLUGEN 40 mg, gélule
1;OLANZAPINE|5 mg;OLANZAPINE RANBAXY 5 mg, comprimé orodispersible
2;CHLORHYDRATE D'AZÉLASTINE|1000 microgrammes;PROPIONATE DE FLUTICASONE|365 microgrammes;DYMISTA 137 microgrammes/50 microgrammes, suspension pour pulvérisation nasale
1;CHLORHYDRATE DE METFORMINE|1000 mg;METFORMINE MYLAN 1000 mg, comprimé dispersible
1;TIMOLOL (MALÉATE DE)|0,342 g;TIMOCOMOD 0,25 POUR CENT, collyre en solution
1;CHLORHYDRATE D'HYDROXYZINE|100 mg;HYDROXYZINE RENAUDIN 100 mg /2 ml, solution injectable
1;CITRATE DE BÉTAÏNE ANHYDRE|2 g;CITRATE DE BETAINE CITRON UPSA 2 g SANS SUCRE, comprimé effervescent édulcoré à la saccharine sodique
1;CARBONATE DE SÉVÉLAMER|800 mg;SEVELAMER CARBONATE BIOGARAN 800 mg, comprimé pelliculé
1;FLUDÉSOXYGLUCOSE [18F]|185 MBq (à la date et à l'heure de calibration);FLUDESOXYGLUCOSE [18 F]-IBA, solution injectable
1;ÉFAVIRENZ|50 mg;SUSTIVA 50 mg, gélule
1;IRBÉSARTAN|150 mg;IRBESARTAN RATIOPHARM 150 mg, comprimé pelliculé
1;BUPIVACAÏNE (CHLORHYDRATE DE) MONOHYDRATÉ|5,28 mg;BUPIVACAINE POUR RACHIANESTHESIE AGUETTANT 5 mg/ ml, solution injectable (voie intrarachidienne)
1;AMOXICILLINE TRIHYDRATÉE|;AMOXICILLINE ALMUS 500 mg, gélule
1;FLUCONAZOLE|40 mg;TRIFLUCAN 40 mg/ml, poudre pour suspension buvable
1;C.I. 42051 SODIQUE|2,50 g;BLEU PATENTE V SODIQUE GUERBET 2,5 POUR CENT, solution injectable
1;DIACÉRÉINE|50 mg;DIACEREINE TEVA 50 mg, gélule
1;PARACÉTAMOL|300 mg;DOLIPRANE 300 mg, suppositoire
2;SPIRAMYCINE|1,5 M.U.I.;MÉTRONIDAZOLE|250 mg;SPIRAMYCINE METRONIDAZOLE GERDA 1,5 M.U.I./250 mg, comprimé pelliculé
1;CHLORHYDRATE DE TRAMADOL|200 mg;ZAMUDOL L.P. 200 mg, gélule à libération prolongée
1;ACICLOVIR|5,00 g;ACTIVIR 5 POUR CENT, crème
1;RAMIPRIL|10 mg;RAMIPRIL MYLAN 10 mg, comprimé sécable
1;AESCULUS HIPPOCASTANUM POUR PRÉPARATIONS HOMÉOPATHIQUES|2CH à 30CH et 4DH à 60DH (crème à 4 %);AESCULUS HIPPOCASTANUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;SOMATORÉLINE (ACÉTATE DE)|;STIMU GH 50 microgrammes, poudre et solvant pour solution injectable (IV)
1;CÉFALOTINE SODIQUE|;CEFALOTINE PANPHARMA 4 g, poudre pour solution injectable
3;SILICE COLLOÏDALE HYDRATÉE|5,50 g;PECTINE|12,00 g;CELLULOSE MICROCRISTALLINE|9,00 g;GELOPECTOSE, poudre orale en boîte
