1;ACÉTATE DE LEUPRORÉLINE|30 mg
1;CHLORHYDRATE D'IDARUBICINE|1 mg
1;DIDANOSINE|400 mg
3;CHLORURE DE SODIUM|0,4 g;CHLORURE DE POTASSIUM|0,2 g;GLUCOSE MONOHYDRATÉ|5,5 g
1;SOLIDAGO VIRGA AUREA POUR PRÉPARATIONS HOMÉOPATHIQUES|2CH à 30CH et 4DH à 60DH (pommade à 1%, 4% ou 10%)
1;MÉTHYLPREDNISOLONE (HÉMISUCCINATE DE)|25,34 mg
1;LILIUM TIGRINUM POUR PRÉPARATIONS HOMÉOPATHIQUES|2CH à 30CH et 4DH à 60DH  (pommade à 4 %)
1;IOPAMIDOL|755,2 mg
1;PINAVÉRIUM (BROMURE DE)|50 mg
1;TEUCRIUM SCORODONIA POUR PRÉPARATIONS HOMÉOPATHIQUES|3CH à 30CH et 5DH à 60DH
1;LÉVÉTIRACÉTAM|750 mg
1;MÉTHYLPREDNISOLONE|16 mg
1;APIXABAN|5 mg
1;ÉTILÉFRINE (CHLORHYDRATE D')|5 mg
1;AMOXICILLINE TRIHYDRATÉE|574 mg
9;MANGANÈSE (GLUCONATE DE)|40,50 mg;IODURE DE SODIUM|0,045 mg;FLUORURE DE SODIUM|80,00 mg;COBALT (GLUCONATE DE)|0,280 mg;AMMONIUM (MOLYBDATE D') TÉTRAHYDRATÉ|1,15 mg;CUIVRE (GLUCONATE DE)|85,00 mg;ZINC (GLUCONATE DE) TRIHYDRATÉ|779,50 mg;GLUCONATE FERREUX|216,00 mg;SÉLÉNITE DE SODIUM|2,19 mg
1;BACLOFÈNE|0,5 mg
1;GRINDÉLIA POUR PRÉPARATIONS HOMÉOPATHIQUES|2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % et 10 %)
2;CLINDAMYCINE (PHOSPHATE DE)|;TRÉTINOÏNE|0,25 mg
5;PHÉNOL|0,0300 g;PHÉNAZONE|0,5000 g;BAUME DU PÉROU|1,0000 g;OXYDE DE ZINC|5,0000 g;SALICYLATE DE SODIUM|0,0036 g
1;AZATHIOPRINE|50 mg
1;RITUXIMAB |1400 mg
1;MÉSILATE DE TRIMIPRAMINE|5,305 g
1;SUCRALFATE|1000 mg
1;BICARBONATE DE SODIUM|4,20 g
1;PANCRÉAS (POUDRE DE) (PORCINE)|152,25 mg
