47933;SODIUM (PICOSULFATE DE);2;SODIUM (PICOSULFATE DE);PICOSULFATE DE SODIUM
63187;CHLORHYDRATE DE DEXMÉDÉTOMIDINE;1;CHLORHYDRATE DE DEXMÉDÉTOMIDINE
64036;FOSINOPRIL;1;FOSINOPRIL
40067;AGALSIDASE BÊTA ;1;AGALSIDASE BÊTA 
4970;TETRAKIS(HYDROXYMETHYL)METHANE;1;TETRAKIS(HYDROXYMETHYL)METHANE
4971;HÉPARINE CALCIQUE;1;HÉPARINE CALCIQUE
68875;MÉTHANESULFONATE DE SAFINAMIDE;1;MÉTHANESULFONATE DE SAFINAMIDE
66219;CHLORHYDRATE DE FEXOFÉNADINE;1;CHLORHYDRATE DE FEXOFÉNADINE
1461;CITROFLAVONOÏDES;1;CITROFLAVONOÏDES
31591;MÉTYRAPONE;1;MÉTYRAPONE
60901;MARRON D'INDE (EXTRAIT FLUIDE DE);1;MARRON D'INDE (EXTRAIT FLUIDE DE)
79531;ASPARTATE DE LYSINE;1;ASPARTATE DE LYSINE
2305;ACÉTATE DE GONADORÉLINE;2;ACÉTATE DE GONADORÉLINE;GONADORÉLINE (ACÉTATE DE)
60910;EXAMÉTAZIME;1;EXAMÉTAZIME
11506;TRYPTOPHANE;1;TRYPTOPHANE
54231;CHLORHYDRATE D'IRBÉSARTAN;2;CHLORHYDRATE D'IRBÉSARTAN;IRBÉSARTAN (CHLORHYDRATE D')
79537;CHLORHYDRATE DE LYSINE;3;L-LYSINE (CHLORHYDRATE DE);CHLORHYDRATE DE LYSINE;LYSINE (CHLORHYDRATE DE)
56894;ALTÉPLASE ;1;ALTÉPLASE 
4962;HEPTAMINOL (CHLORHYDRATE D');2;HEPTAMINOL (CHLORHYDRATE D');CHLORHYDRATE D'HEPTAMINOL
4963;HEXAMIDINE (DIISÉTIONATE D');3;DIISÉTIONATE D'HEXAMIDINE;HEXAMIDINE (DIISÉTIONATE D');HEXAMIDINE (DIISÉTHIONATE D')
3633;NÉOSTIGMINE (MÉTILSULFATE DE);2;NÉOSTIGMINE (MÉTILSULFATE DE);MÉTILSULFATE DE NÉOSTIGMINE
4966;DICHLORHYDRATE D'HISTAMINE;1;DICHLORHYDRATE D'HISTAMINE
29261;ÉTHANOL À X POUR CENT;1;ÉTHANOL À X POUR CENT
