E23E3A4DFC43420A5CAECEE68522B416AF95207E;1;IODE|350,00 mg;0
14EAB49270FAFEA38DF70623388EA9CEB57E5654;1;ISAVUCONAZOLE|100 mg;1;0DDA7FCCFA52A6901E925141FDE79C3070CB3597
4A46B8B27DC4ABD1C5B54275519E76BC1787B139;1;ROPINIROLE|4 mg;0
EB2C05E35C2CED069FB8EF31C4B209721CBAC527;1;TIMOLOL BASE|0,50 g;1;6F74690C0DC0075091DD5C6E9241AE7FF0E8158C
0EDEDF2DFBFC8BD9581ECE7E4505CEE6F9E3DB2B;1;LIDOCAÏNE|5 g;1;C698EAB42B83E2EBF7F4A56374516A95920AC032
7A73E9381A4AED82E5672DEEDE51FE60B6A778D1;1;CARBIDOPA ANHYDRE|50 mg;0
8DB01094A063DE28BBF4035FD93C011564DCEAA0;1;FEXOFÉNADINE BASE|168 mg;0
E4EB720C3C9F1D98391AD2F7FB897E1B91FA5FC6;1;CEFTAZIDIME ANHYDRE|2,000 g;1;A8F3C13F84C8F75FCE7188F856E75DD95CA3ECFF
DB3C532FA2DD8EE49F9722CA83DACE7A580A9491;1;CÉFIXIME ANHYDRE|200 mg;2;A00EC93B08C374589194F40CBC2B5B17A91EE0FB;E81222002E4A4F7FFC5981A47B2C3DBA7EF7F74E
2346A4AEE010C069342D134CD6192C285CE4B49A;1;BÉTAMÉTHASONE|8 mg;1;CBAA79325ACA78F70C9CD07AD86B5099838819A2
F09DDF93E30DDF0AC606D3B78B4A80BF2AE9CAD5;1;HYDROCORTISONE|0,500 g;1;0596FF6987E19A6A263BA2B5C66064E1388BE33F
99F4B1D46ADAE3F0A549EF4063004627583C12EF;1;TIAGABINE ANHYDRE|10 mg;1;0BDA6EFF11E0DD33BAEF7A5A36CE1915B1D44E1B
A693F173AC4EC848E3BA1E9B3A779C9D3FF03016;1;ACIDE ZOLÉDRONIQUE ANHYDRE|4 mg;0
A14F6D2B074F47D5C44A9A1F0317F46CEB2C29C6;7;CHLORURE DE CALCIUM ANHYDRE|0,56 g;LYSINE|6,6 g;ACÉTATE DE SODIUM ANHYDRE|3,4 g;GLUCOSE ANHYDRE|420 g;SULFATE DE ZINC ANHYDRE|0,013 g;SULFATE DE MAGNÉSIUM ANHYDRE|1,2 g;GLYCÉROPHOSPHATE DE SODIUM ANHYDRE|4,2 g;0
ECDC3FB6B15B1F7E6F98A3A5E3281F8A35602352;1;ÉTELCALCÉTIDE|10 mg;1;785A1387D4F6F46F7F7CC6CEC5755FECAB80BF69
3B990718DD7B6556887080DD0A475EB2BE0630CC;1;GLUCOSE ANHYDRE|2,5 g;0
C53D8F970EE2F0F41686F1D62B067E4585B16218;1;ÉPOPROSTÉNOL|0,500 mg;0
20E6522FD23A436E541ABB5311190F6826B3ADC0;1;CARBIDOPA|12,50 mg;0
FDC37B8CE016A1D5B8E0310C55F21792ADED19E6;1;TIMOLOL BASE|2,5 mg;1;070786D69E02AC4A8802A269A67CB8E90AE3D9D3
753521491D168C5D262E97CCF6FC63CB4B8A2FE7;1;CHLORHYDRATE DE DONÉPÉZIL|10 mg;0
DC415EE633488F3ABBE6A7E5B71393FEADBB48CC;1;DORZOLAMIDE|20 mg;0
E0A4AB2BE417BE7136E57FED97FF66A02177AC74;1;RÉMIFENTANIL BASE|2 mg;1;09392E9E9CDBE778E066453E237F4B948FB1BF44
1EECBB7938EBA66BF251F7B8E15E7ED56FBB2FA1;1;TOPOTÉCANE|1 mg;0
BAADE03D1D474B13E852F1256475D3A51C78D88B;1;DOCÉTAXEL ANHYDRE|20 mg;0
13EA1F287E106104C47FB672FEC1776236E399D6;1;LÉVOTHYROXINE SODIQUE ANHYDRE|150 microgrammes;0
C9098BB46D8F8E2AB9B7AC09B1204243F78523F2;1;TÉNOFOVIR ALAFÉNAMIDE|25 mg;0
D1F43F95C1A52D31334F110CE65493450A66EFF3;1;LANTHANE|250 mg;0
6F8759189C1E29DB5A8E995D5BAD0C084AD367C3;1;ABACAVIR BASE|20 mg;1;C2D8486498E22D26004041E610C09ADD91AA42A5
B14D3C383D852050CA0F56D608415531EC91B9F9;1;GENTAMICINE|1 mg;1;388F3D475D43B66FC07C51AC7BEA26F7A1AFDC9A
0BCB3D9A3D9137432044128D9B752916C565037C;3;ATORVASTATINE|20 mg;AMLODIPINE|5 mg;PÉRINDOPRIL|6,79 mg;0
EC3E956ECE8941D210A864CABB5038418153638C;1;BENSÉRAZIDE BASE|50 mg;0
54A3C0A82433E6FB539F64BE197C05BC8FD07A3C;1;ACIDE RISÉDRONIQUE|32,5 mg;2;5C9D266B8C81FED75DD59FEC44E2C8D3F22EE8C0;F9C1B52B56CE82CCB57F52D94D520B9C062601D7
009286DCBCBD03AC8F22B4D23F12054B5FFD3210;1;ACIDE GADOBÉNIQUE|334 mg;1;D9E5F45506C44AD6A7F71E033EB562ACA76A2B16
A77E5F5B9F9427BBD00E3CB5F3A3858F9F845DCA;1;PRAZOSINE BASE|2,50 mg;0
55161F5BC81FF5F0CB40CEC16C9F9CAF9D9F0A3A;1;CARBIDOPA ANHYDRE|5 mg;0
E9B54990E5C4FA4C3A2AFC777B9731AEA82B6A83;1;LYSINE|3,19 g;0
EC32162938EF6C74A6FB39A4E3B0AD589CE23EF0;1;LANRÉOTIDE BASE|0,030 g;1;205513C167405404A87134EE2A3514AE97FCC438
6A6AA51B6B014C9C350008BD92074827B666954F;1;CHLORHYDRATE DE LIDOCAÏNE ANHYDRE|10 mg;1;FDECE6A39D2A9C7F649E40599C91982677F8290D
